 Counter    Student ID    Average Test Score
  1          1101001         65.67
  2          1101002         35.00
  3          1101003         70.33
  4          1101004         79.00
  5          1101005         51.33
  6          1101006         86.67
  7          1101007         64.67
  8          1101008         43.67
  9          1101009         47.33
 10          1101010         87.33
 11          1101011         48.33
 12          1101012         50.33
 13          1101013         64.67
 14          1101014         57.67
 15          1101015         46.00
 16          1101016         30.33
 17          1101017         37.67
 18          1101018         61.33
 19          1101019         37.00
 20          1101020         51.00
 21          1101021         56.33
 22          1101022         61.00
 23          1101023         74.33
 24          1101024         79.67
 25          1101025         58.67
 26          1101026         68.67
 27          1101027         81.67
 28          1101028         74.00
 29          1101029         34.67
 30          1101030         50.33
 31          1101031         66.33
 32          1101032         44.67
 33          1101033         31.33
 34          1101034         64.67
 35          1101035         66.33
 36          1101036         47.33
 37          1101037         62.33
 38          1101038         64.33
 39          1101039         44.33
 40          1101040         53.00
 41          1101041         42.67
 42          1101042         49.00
 43          1101043         54.33
 44          1101044         69.00
 45          1101045         59.33
 46          1101046         84.67
 47          1101047         52.33
 48          1101048         65.33
 49          1101049         51.00
 50          1101050         59.33
 51          1101051         55.67
 52          1101052         52.33
 53          1101053         54.33
 54          1101054         76.33
 55          1101055         62.00
 56          1101056         37.67
 57          1101057         68.00
 58          1101058         86.33
 59          1101059         58.67
 60          1101060         67.67
 61          1101061         70.00
 62          1101062         68.33
 63          1101063         47.00
 64          1101064         53.00
 65          1101065         61.67
 66          1101066         53.67
 67          1101067         67.33
 68          1101068         53.67
 69          1101069         85.67
 70          1101070         59.00
 71          1101071         50.33
 72          1101072         69.00
 73          1101073         58.67
 74          1101074         69.33
 75          1101075         80.67
 76          1101076         81.67
 77          1101077         75.33
 78          1101078         44.33
 79          1101079         70.33
 80          1101080         45.33
 81          1101081         80.00
 82          1101082         38.00
 83          1101083         53.00
 84          1101084         70.67
 85          1101085         73.33
 86          1101086         62.33
 87          1101087         64.67
 88          1101088         58.33
 89          1101089         78.67
 90          1101090         69.67
 91          1101091         61.00
 92          1101092         41.67
 93          1101093         57.67
 94          1101094         42.33
 95          1101095         59.67
 96          1101096         59.33
 97          1101097         61.33
 98          1101098         55.00
 99          1101099         39.33
100          1101100         61.33
101          1101101         59.33
102          1101102         61.00
103          1101103         49.67
104          1101104         51.33
105          1101105         69.67
106          1101106         56.00
107          1101107         58.67
108          1101108         67.67
109          1101109         66.67
110          1101110         60.33
111          1101111         43.00
112          1101112         69.67
113          1101113         59.00
114          1101114         87.00
115          1101115         64.67
116          1101116         67.00
117          1101117         49.67
118          1101118         61.33
119          1101119         56.67
120          1101120         63.00
121          1101121         75.67
122          1101122         61.33
123          1101123         69.00
124          1101124         46.33
125          1101125         55.67
126          1101126         59.67
127          1101127         78.33
128          1101128         64.33
129          1101129         68.00
130          1101130         47.67
131          1101131         75.67
132          1101132         48.33
133          1101133         61.67
134          1101134         60.67
135          1101135         75.67
136          1101136         75.33
137          1101137         60.00
138          1101138         58.33
139          1101139         68.33
140          1101140         81.67
141          1101141         56.33
142          1101142         68.00
143          1101143         73.67
144          1101144         78.00
145          1101145         77.33
146          1101146         47.67
147          1101147         54.67
148          1101148         59.00
149          1101149         47.00
150          1101150         60.33
151          1101151         53.33
152          1101152         52.67
153          1101153         79.67
154          1101154         76.67
155          1101155         84.00
156          1101156         65.67
157          1101157         52.00
158          1101158         65.00
159          1101159         67.00
160          1101160         66.67
161          1101161         63.00
162          1101162         51.67
163          1101163         62.00
164          1101164         67.00
165          1101165         59.67
166          1101166         79.33
167          1101167         62.67
168          1101168         43.67
169          1101169         53.67
170          1101170         73.67
171          1101171         44.67
172          1101172         85.67
173          1101173         63.67
174          1101174         58.00
175          1101175         71.00
176          1101176         58.67
177          1101177         80.00
178          1101178         78.67
179          1101179         51.00
180          1101180         35.00
181          1101181         86.67
182          1101182         63.67
183          1101183         72.33
184          1101184         75.33
185          1101185         49.00
186          1101186         51.33
187          1101187         70.67
188          1101188         49.33
189          1101189         62.33
190          1101190         67.00
191          1101191         67.00
192          1101192         42.33
193          1101193         59.67
194          1101194         67.00
195          1101195         52.33
196          1101196         70.33
197          1101197         85.67
198          1101198         56.67
199          1101199         77.67
200          1101200         93.67
